Departamento,Provincia,Distrito,Latitud,Longitud
LA LIBERTAD,ASCOPE,CHICAMA,-7.804977007,-79.00822354
LA LIBERTAD,ASCOPE,PAIJAN,-7.728737063,-79.30216647
LA LIBERTAD,OTUZCO,OTUZCO,-7.848727607,-78.58211044
LA LIBERTAD,OTUZCO,HUARANCHAL,-7.690454528,-78.45173825
LA LIBERTAD,VIRU,VIRU,-8.353303695,-78.73525526
LA LIBERTAD,SANTIAGO DE CHUCO,MOLLEBAMBA,-8.127965512,-77.98081149
AMAZONAS,LUYA,SANTA CATALINA,-6.05696468,-78.09351578
AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,-6.207199405,-77.33422521
AMAZONAS,LUYA,SAN JERONIMO,-6.004593674,-78.04580688
AMAZONAS,BONGARA,SAN CARLOS,-5.996388688,-77.8790594
AMAZONAS,CHACHAPOYAS,ASUNCION,-5.996132538,-77.74320405
AMAZONAS,BONGARA,SHIPASBAMBA,-5.88374675,-78.05208916
AMAZONAS,BONGARA,FLORIDA,-5.823604337,-77.9592018
AMAZONAS,BONGARA,COROSHA,-5.817518774,-77.8107242
AMAZONAS,UTCUBAMBA,EL MILAGRO,-5.717310962,-78.61124594
AMAZONAS,BAGUA,EL PARCO,-5.622638264,-78.47396968
AMAZONAS,BAGUA,ARAMANGO,-5.380431148,-78.44833738
LORETO,REQUENA,MAQUIA,-6.385333155,-74.72951131
LORETO,REQUENA,SOPLIN,-6.327026438,-73.7507104
LORETO,MAYNAS,IQUITOS,-3.782273098,-73.43263144
LORETO,MAYNAS,FERNANDO LORES,-4.279124515,-73.11481464
LORETO,LORETO,URARINAS,-4.274922117,-75.48466625
LORETO,MARISCAL RAMON CASTILLA,RAMON CASTILLA,-3.677496675,-70.83613476
LORETO,MARISCAL RAMON CASTILLA,PEBAS,-3.432711778,-71.96467461
LORETO,MARISCAL RAMON CASTILLA,YAVARI,-4.477463094,-72.0331143
LORETO,REQUENA,YAQUERANA,-5.751712825,-73.34443647
LORETO,UCAYALI,VARGAS GUERRA,-6.931930051,-75.09431271
LORETO,DATEM DEL MARAÑON,MANSERICHE,-4.727596423,-77.51851187
SAN MARTIN,MARISCAL CACERES,HUICUNGO,-7.25928175,-77.32157545
SAN MARTIN,MARISCAL CACERES,PACHIZA,-6.969302937,-77.04329544
SAN MARTIN,HUALLAGA,SAPOSOA,-6.888838496,-76.87375396
SAN MARTIN,MOYOBAMBA,HABANA,-6.088901864,-77.1000937
SAN MARTIN,PICOTA,PILLUANA,-6.783422561,-76.26897005
SAN MARTIN,PICOTA,TRES UNIDOS,-6.817432586,-76.12861753
SAN MARTIN,EL DORADO,SAN JOSE DE SISA,-6.611651352,-76.72023485
SAN MARTIN,SAN MARTIN,JUAN GUERRA,-6.621258364,-76.35067927
SAN MARTIN,SAN MARTIN,LA BANDA DE SHILCAYO,-6.477259012,-76.27226772
SAN MARTIN,SAN MARTIN,MORALES,-6.508047874,-76.41699574
SAN MARTIN,LAMAS,LAMAS,-6.399060253,-76.52604198
