Departamento;Provincia;Distrito;Latitud;Longitud
AYACUCHO;VICTOR FAJARDO;HUANCARAYLLA;-13.749075884;-74.1698708846
AYACUCHO;VICTOR FAJARDO;COLCA;-13.7148596582;-74.0379326237
CUSCO;PARURO;PACCARITAMBO;-13.7686710187;-71.9371297742
CUSCO;PARURO;COLCHA;-13.870942013;-71.8670100228
CUSCO;CANAS;CHECCA;-14.4916049806;-71.4777304394
CUSCO;CANAS;QUEHUE;-14.3656903447;-71.4895062723
CUSCO;CANCHIS;SICUANI;-14.2510170043;-71.1036090237
CUSCO;CANCHIS;COMBAPATA;-14.0881433038;-71.3341537601
CUSCO;CANCHIS;MARANGANI;-14.3736330143;-71.0956311777
CUSCO;CANCHIS;PITUMARCA;-13.8887914957;-71.1581667814
CUSCO;QUISPICANCHI;LUCRE;-13.6449847293;-71.7678278048
CUSCO;QUISPICANCHI;QUIQUIJANA;-13.805612474;-71.5331691848
CUSCO;CANCHIS;SAN PEDRO;-14.166052711;-71.3328229541
CUSCO;ESPINAR;PALLPATA;-14.9073568544;-71.0911155123
HUANCAVELICA;HUAYTARA;SANTO DOMINGO DE CAPILLAS;-13.6712295372;-75.1838166957
ICA;NASCA;CHANGUILLO;-14.8016711742;-75.3343961551
ICA;NASCA;EL INGENIO;-14.6777459579;-75.0071063831
ICA;NASCA;VISTA ALEGRE;-14.9284661611;-74.8280058435
ICA;PALPA;PALPA;-14.4897353571;-75.1315755777
ICA;PALPA;LLIPATA;-14.5946607234;-75.1587275205
ICA;ICA;LOS AQUIJES;-14.0740320502;-75.6406122642
ICA;ICA;OCUCAJE;-14.4841072733;-75.7807516794
ICA;ICA;SAN JUAN BAUTISTA;-13.9735463844;-75.7331355473
APURIMAC;CHINCHEROS;RANRACANCHA;-13.5476380081;-73.5963016403
APURIMAC;ANDAHUAYLAS;KAQUIABAMBA;-13.5115461168;-73.2794061646
APURIMAC;CHINCHEROS;HUACCANA;-13.3195062508;-73.7312117723
AYACUCHO;HUAMANGA;SOCOS;-13.261456802;-74.2844271146
CUSCO;ANTA;MOLLEPATA;-13.463581388;-72.6231610075
CUSCO;URUBAMBA;CHINCHERO;-13.4093831125;-72.0387779392
CUSCO;CALCA;LARES;-13.0860066882;-72.0260323587
CUSCO;LA CONVENCION;MARANURA;-12.9375608852;-72.6438218422
CUSCO;LA CONVENCION;SANTA TERESA;-13.2443822665;-72.7329813353
CUSCO;URUBAMBA;OLLANTAYTAMBO;-13.2364727158;-72.3164185055
CUSCO;URUBAMBA;YUCAY;-13.2942401693;-72.0732270211
AYACUCHO;CANGALLO;TOTOS;-13.5561668634;-74.5011849185
AYACUCHO;HUAMANGA;OCROS;-13.3926172606;-73.9003226615
AYACUCHO;HUAMANGA;CHIARA;-13.3757477057;-74.1586261324
AYACUCHO;HUAMANGA;SAN JUAN BAUTISTA;-13.1959253274;-74.2120367011
AYACUCHO;HUAMANGA;ACOS VINCHOS;-13.1279427823;-74.0556085057
AYACUCHO;LA MAR;SAN MIGUEL;-13.0360649762;-73.9426500306
AYACUCHO;HUAMANGA;CARMEN ALTO;-13.2040877849;-74.2355889241
CUSCO;CALCA;PISAC;-13.3891385849;-71.8083459144
CUSCO;CALCA;TARAY;-13.4602192042;-71.8838297169
HUANCAVELICA;CASTROVIRREYNA;CAPILLAS;-13.3424479777;-75.6110544412
HUANCAVELICA;ANGARAES;SANTO TOMAS DE PATA;-13.143553988;-74.4709915745
HUANCAVELICA;ANGARAES;SECCLLA;-13.0808402896;-74.5415166625
HUANCAVELICA;HUANCAVELICA;HUACHOCOLPA;-13.0458930575;-74.9570050709
HUANCAVELICA;CASTROVIRREYNA;CHUPAMARCA;-12.8940305271;-75.5296557323
HUANCAVELICA;ANGARAES;CONGALLA;-12.9818036757;-74.5404762488
HUANCAVELICA;ACOBAMBA;ACOBAMBA;-12.8233134978;-74.5663956912
HUANCAVELICA;ACOBAMBA;MARCAS;-12.8744258763;-74.3977836004
HUANCAVELICA;HUANCAVELICA;ACORIA;-12.5995765115;-74.8235281193
HUANCAVELICA;HUANCAVELICA;MANTA;-12.6087651784;-75.1604993112
HUANCAVELICA;HUANCAVELICA;CONAYCA;-12.5179571651;-75.039817795
HUANCAVELICA;HUANCAVELICA;VILCA;-12.5330274197;-75.2688789821
HUANCAVELICA;HUANCAVELICA;CUENCA;-12.4599030284;-75.0558017667
HUANCAVELICA;TAYACAJA;ACRAQUIA;-12.3963805438;-74.9392688319
